case_code,selection_rule,screen,fraction_inspected,candidates_inspected,normalized_regret,color
C2,Median-ranking case,LM three-component-reaction screen,0.1638888888888889,177,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.1648148148148148,178,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.16574074074074074,179,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.16666666666666666,180,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.1675925925925926,181,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.1685185185185185,182,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.16944444444444445,183,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.17037037037037037,184,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.1712962962962963,185,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.17222222222222222,186,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.17314814814814813,187,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.17407407407407408,188,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.175,189,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.17592592592592593,190,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.17685185185185184,191,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.17777777777777778,192,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.1787037037037037,193,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.17962962962962964,194,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.18055555555555555,195,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.1814814814814815,196,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.1824074074074074,197,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.18333333333333332,198,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.18425925925925926,199,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.18518518518518517,200,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.18611111111111112,201,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.18703703703703703,202,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.18796296296296297,203,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.18888888888888888,204,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.18981481481481483,205,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.19074074074074074,206,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.19166666666666668,207,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.1925925925925926,208,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.1935185185185185,209,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.19444444444444445,210,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.19537037037037036,211,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.1962962962962963,212,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.19722222222222222,213,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.19814814814814816,214,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.19907407407407407,215,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.2,216,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.20092592592592592,217,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.20185185185185187,218,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.20277777777777778,219,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.2037037037037037,220,0.0,#4C78A8
